date,有息负债率,负债合计,流动负债合计,应收账款,流动比率,长期负债合计,流动资产合计,所有者权益合计,速动比率,资产合计,货币资金,资产负债率
2026-03-31,0.0973,368440440000,41199188000,52536877000,1.2149,13576764000,5002738000,245441131000,1.0183,613881571000,580510136801.1,0.6002
2025-12-31,0.1136,372367543000,46993060000,40450097000,1.2134,12658843000,4268501000,236424223000,1.0041,608791766000,593716908789.9,0.6117
2025-09-30,0.095,359205303000,36511817000,46472253000,1.114,12551649000,4101349000,234107700000,0.9439,593313003000,557484328974.72,0.6054
2025-06-30,0.1552,408610428000,38646503000,52909026000,1.093,8984029000,3757886000,229423081000,0.9428,638033509000,553496324792.6,0.6404
2025-03-31,0.1552,393158287000,41550264000,48667141000,1.1358,7647895000,3675486000,241626422000,0.9718,634784709000,600992536815.5,0.6194
2024-12-31,0.1488,376684462000,49254717000,35798974000,1.1059,10491757000,3499556000,227667391000,0.9054,604351853000,569431708448.2,0.6233
2024-09-30,0.1499,346854643000,37510240000,36924388000,1.1241,10494613000,3588556000,220295694000,0.9684,567150337000,575062670109,0.6116
2024-06-30,0.1492,330346541000,34683769000,43859227000,1.092,39832425000,3617571000,176285368000,0.9182,506631909000,450217467681,0.652
2024-03-31,0.1433,314101232000,37555322000,39977677000,1.1483,46026826000,3885838000,183867236000,0.9558,497968468000,447546015495.28,0.6308
2023-12-31,0.1571,311738535000,41765475000,32884739000,1.1197,46138736000,4045925000,174299649000,0.902,486038184000,383753756399.04,0.6414
2023-09-30,0.1689,296757722000,29041409000,35752203000,1.1207,38727279000,4838145000,168262257000,0.948,465019979000,389635205081.48,0.6382
2023-06-30,0.1885,304497120000,29636542000,36454972000,1.1146,39030039000,4703917000,158242515000,0.9442,462739635000,413746921665.72,0.658
2023-03-31,0.1776,279642424000,28415514000,35551438000,1.2341,43769565000,4548077000,161444735000,1.0459,441087159000,376523264219.56,0.634
2022-12-31,0.1649,270631465000,27960038000,28237973000,1.2654,50685948000,4498956000,151923802000,0.9993,422555267000,362379802706.6,0.6405
2022-09-30,0.1742,268589662000,24166174000,31431007000,1.3506,55483504000,4244361000,148863414000,1.1256,417453076000,345072459987.62,0.6434
2022-06-30,0.1736,272705675000,24331594000,29586420000,1.1837,26646374000,4264364000,140398470000,0.9888,413104145000,422568700785.99,0.6601
2022-03-31,0.1632,264979797000,26513521000,29667624000,1.1326,19531218000,4258097000,142862590000,0.9145,407842387000,398728551807,0.6497
2021-12-31,0.1444,253121028000,23916595000,24636440000,1.1167,19734020000,3823476000,134825076000,0.874,387946104000,515678277325.64,0.6525
2021-09-30,0.1604,248028302000,20326814000,25984593000,1.373,48636926000,4098681000,128305468000,1.1562,376333770000,485899076541.6,0.6591
2021-06-30,0.1693,256756416000,20334320000,27591834000,1.3203,49389407000,4354173000,123454786000,1.1048,380211202000,503026335463.86,0.6753
2021-03-31,0.1724,244805398000,20148760000,26388315000,1.318,46909801000,3875902000,124369128000,1.1126,369174526000,579017254897.41,0.6631
2020-12-31,0.1646,236145503000,18400922000,22978363000,1.3123,42827287000,3236848000,124237100000,1.1109,360382603000,692030837341.56,0.6553
2020-09-30,0.1614,230314458000,15079947000,23076561000,1.3317,37060978000,3699399000,120128992000,1.167,350443450000,509782380815.4,0.6572
2020-06-30,0.1733,222300563000,15325554000,25671899000,1.3108,37136646000,3672104000,112362101000,1.1531,334662664000,419112709154.7,0.6643
2020-03-31,0.1658,190087022000,13547238000,20652085000,1.5391,41368988000,4261155000,111581562000,1.3151,301668584000,338235295223.16,0.6301
2019-12-31,0.1608,194459322000,0,18663819000,1.5,41298377000,0,107496097000,1.2597,301955419000,406113150185.5,0.644
2019-09-30,0.1532,180927263000,0,20260192000,1.5462,42314469000,0,104361936000,1.3435,285289199000,354577945088.5,0.6342
2019-06-30,0.1553,185431822000,0,23017823000,1.4856,42490036000,0,98602003000,1.29,284033825000,359510246198.36,0.6529
2019-03-31,0.1556,179442233000,0,0,1.4789,34913366000,0,99467982000,1.2832,278910215000,320578856725.16,0.6434
2018-12-31,0.1554,171246631000,0,19390174000,1.4028,32091439000,0,92454517000,1.1582,263701148000,244267958369.18,0.6494
2018-09-30,0.1626,164667867000,0,19101799000,1.4232,32692841000,0,91983272000,1.2059,256651139000,267064533973.9,0.6416
2018-06-30,0.1557,163059199000,0,20537867000,1.3868,30276189000,0,87938602000,1.1806,250997801000,345914982214.9,0.6496
2018-03-31,0.1539,164659394000,0,19752160000,1.4664,32717337000,0,87907132000,1.2275,252566526000,358559135597.88,0.6519
2017-12-31,0.1631,165181687000,0,17528717000,1.4259,32986325000,0,82925171000,1.1646,248106858000,361383489885.14,0.6658
2017-09-30,0.1758,161929547000,0,17360462000,1.4214,33075133000,0,80253729000,1.1964,242183276000,288102767779.62,0.6686
2017-06-30,0.1791,156021600000,0,19380874000,1.1047,4036714000,0,74994892000,0.9381,231016492000,280605185001.92,0.6754
2017-03-31,0.1831,151484127000,0,18026613000,1.0946,4040286000,0,74430260000,0.9146,225914387000,215307056354.4,0.6705
2016-12-31,0.0609,101624015000,0,13454511000,1.3525,2254348000,0,68976696000,1.1595,170600711000,180990398076.03,0.5957
2016-09-30,0.0738,97044256000,0,12726023000,1.3344,2110281000,0,65947354000,1.1872,162991610000,173537474335.59,0.5954
