date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,1244601859356.0,83.2572,,,,,38.0565,,,,,83.7585,,,,,24.3743,,,,,0.0013,35.9266,,,,
2026-07-02,1274713194663.0,85.2715,,,,,38.9773,,,,,85.7849,,,,,24.9640,,,,,0.0012,36.7958,,,,
2026-07-01,1364121555831.97,91.2524,,,,,41.7111,,,,,91.8018,,,,,26.7149,,,,,0.0011,39.3767,,,,
2026-06-30,1416347994070.0,94.7461,,,,,43.3081,,,,,95.3165,,,,,27.7377,,,,,0.0011,40.8842,,,,
2026-06-29,1360586262020.0,91.0159,,,,,41.6030,,,,,91.5639,,,,,26.6457,,,,,0.0011,39.2746,,,,
2026-06-26,1398381564003.49,93.5442,,,,,42.7587,,,,,94.1074,,,,,27.3859,,,,,0.0011,40.3656,,,,
2026-06-25,1475901523899.4,98.7299,,,,,45.1291,,,,,99.3243,,,,,28.9040,,,,,0.0011,42.6033,,,,
2026-06-24,1463388591227.38,97.8929,,,,,44.7465,,,,,98.4822,,,,,28.6590,,,,,0.0011,42.2421,,,,
2026-06-23,1460968532056.41,97.7310,,,,,44.6725,,,,,98.3194,,,,,28.6116,,,,,0.0011,42.1722,,,,
2026-06-22,1541622301293.53,103.1263,,,,,47.1386,,,,,103.7472,,,,,30.1911,,,,,0.0010,44.5004,,,,
2026-06-18,1525507160731.08,102.0483,,,,,46.6459,,,,,102.6627,,,,,29.8755,,,,,0.0010,44.0352,,,,
2026-06-17,1423162077726.51,95.2019,,,,,43.5164,,,,,95.7751,,,,,27.8712,,,,,0.0011,41.0809,,,,
2026-06-16,1391913203085.69,93.1115,,,,,42.5609,,,,,93.6721,,,,,27.2592,,,,,0.0011,40.1789,,,,
2026-06-15,1388467128045.0,92.8810,,,,,42.4556,,,,,93.4402,,,,,27.1917,,,,,0.0011,40.0794,,,,
2026-06-12,1281404602509.0,85.7191,,,,,39.1819,,,,,86.2352,,,,,25.0950,,,,,0.0012,36.9890,,,,
2026-06-11,1253523736484.0,83.8540,,,,,38.3294,,,,,84.3589,,,,,24.5490,,,,,0.0012,36.1842,,,,
2026-06-10,1279174133227.0,85.5699,,,,,39.1137,,,,,86.0851,,,,,25.0513,,,,,0.0012,36.9246,,,,
2026-06-09,1315976876380.0,88.0318,,,,,40.2390,,,,,88.5618,,,,,25.7721,,,,,0.0012,37.9869,,,,
2026-06-08,1288084858008.59,86.1660,,,,,39.3861,,,,,86.6848,,,,,25.2258,,,,,0.0012,37.1818,,,,
