date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,210094585899.8,0.9433,,,,,0.0733,8.4221,,,,,8.3868,,,,,0.9176,,,,,0.9848,,,,
2026-07-02,201978687173.35,0.9068,,,,,0.0762,8.0967,,,,,8.0628,,,,,0.8821,,,,,0.9467,,,,
2026-07-01,201519296679.4,0.9048,,,,,0.0764,8.0783,,,,,8.0445,,,,,0.8801,,,,,0.9446,,,,
2026-06-30,203050598325.9,0.9117,,,,,0.0758,8.1397,,,,,8.1056,,,,,0.8868,,,,,0.9518,,,,
2026-06-29,205193983549.8,0.9213,,,,,0.0750,8.2256,,,,,8.1912,,,,,0.8962,,,,,0.9618,,,,
2026-06-26,205040853711.33,0.9206,,,,,0.0751,8.2195,,,,,8.1851,,,,,0.8955,,,,,0.9611,,,,
2026-06-25,211625436765.54,0.9223,,,,,0.0727,8.4835,,,,,8.4479,,,,,0.8979,,,,,0.9920,,,,
2026-06-24,214381773858.0,0.9343,,,,,0.0718,8.5940,,,,,8.5580,,,,,0.9096,,,,,1.0049,,,,
2026-06-23,214228644019.53,0.9337,,,,,0.0718,8.5878,,,,,8.5519,,,,,0.9089,,,,,1.0042,,,,
2026-06-22,216678721435.05,0.9444,,,,,0.0710,8.6860,,,,,8.6497,,,,,0.9193,,,,,1.0156,,,,
2026-06-18,211319177088.6,0.9210,,,,,0.0728,8.4712,,,,,8.4357,,,,,0.8966,,,,,0.9905,,,,
2026-06-17,214994293211.88,0.9370,,,,,0.0716,8.6185,,,,,8.5824,,,,,0.9122,,,,,1.0078,,,,
2026-06-16,218056889981.28,0.9504,,,,,0.0706,8.7413,,,,,8.7047,,,,,0.9252,,,,,1.0221,,,,
2026-06-15,221885135943.03,0.9670,,,,,0.0694,8.8947,,,,,8.8575,,,,,0.9414,,,,,1.0401,,,,
2026-06-12,223110174650.79,0.9724,,,,,0.0690,8.9438,,,,,8.9064,,,,,0.9466,,,,,1.0458,,,,
2026-06-11,217903760142.81,0.9497,,,,,0.0706,8.7351,,,,,8.6986,,,,,0.9245,,,,,1.0214,,,,
2026-06-10,220660097235.27,0.9617,,,,,0.0698,8.8456,,,,,8.8086,,,,,0.9362,,,,,1.0343,,,,
2026-06-09,226785290774.07,0.9884,,,,,0.0679,9.0912,,,,,9.0531,,,,,0.9622,,,,,1.0630,,,,
2026-06-08,230001017381.94,1.0024,,,,,0.0669,9.2201,,,,,9.1815,,,,,0.9759,,,,,1.0781,,,,
