公司,日期,PE-TTM,PE分位,PB,PB分位,PS-TTM,PS分位,股息率,ROE,ROA,净利润率,毛利率,营业收入,净利润,经营现金流,自由现金流,资产负债率,流动比率
新华保险,2026-04-21,5.4956,0.0161,1.7876,0.4584,1.2641,0.7766,0.0427,0.3492,0.0202,0.23,,157745000000,36284000000,110916000000,109443000000,0.9413,
三美股份,2026-04-21,21.2076,0.2341,5.038,0.9596,7.0649,0.9128,0.0122,0.2552,0.2196,0.3308,0.4772,4429051151,1590955092,1560924441.0,663312858.0,0.1743,4.8291
蜜雪集团,2026-03-16,23.6555,0.051,5.7335,0.0392,4.2749,0.051,0.0,,,,,,,,,,
中国中车,2026-04-21,13.2597,0.0546,1.0154,0.0964,0.6401,0.0083,0.0378,0.0793,0.0318,0.0619,0.2138,273063098000,13181015000,24185716000.0,15709832000.0,0.6077,1.1796
贵州茅台,2026-04-21,21.4798,0.1068,7.2279,0.1472,10.2771,0.1142,0.0368,0.344,0.2831,0.4958,0.9118,168838102515,82320067102,61522204989,58394766023,0.1642,5.09
美的集团,2026-04-21,13.7548,0.4196,2.7079,0.1999,1.3183,0.5059,0.0542,0.1919,0.0734,0.0971,0.2639,456451731000,43945411000,53345930000.0,42679565000.0,0.6117,1.2134
立讯精密,2026-04-21,28.859,0.3827,5.6764,0.5134,1.4414,0.3814,0.0046,0.1926,0.0685,0.0547,0.1191,332344443143,16599769786,17325329534.0,-324921015.0,0.6607,1.1107
三花智控,2026-04-21,47.757,0.7726,6.1114,0.5854,6.2567,0.8706,0.0087,0.1593,0.0958,0.1324,0.2878,31011744510,4062891412,5090762718,1978602954,0.3515,2.1947
比亚迪,2026-04-21,28.3782,0.2589,4.0681,0.4312,1.1514,0.2469,0.0035,0.1477,0.0405,0.042,0.1774,803964958000,32619022000,59135544000,-95574651000,0.7074,0.793
五粮液,2026-04-21,13.8125,0.0041,2.9643,0.0511,4.7776,0.0091,0.0568,0.2065,0.167,0.3584,0.7547,60945321084,21511276550,28247488417,29890128971,0.1926,4.5886
招商银行,2026-04-21,6.6954,0.2168,0.9398,0.1261,2.979,0.4378,0.0506,0.1202,0.012,0.4477,,337532000000,150181000000,451457000000,436390000000,0.902,
伊利股份,2026-04-21,20.1831,0.2552,3.0348,0.02,1.3783,0.082,0.0665,0.1329,0.0527,0.0681,0.3429,90340548118,10426102617,9399863343,14168279416,0.6055,0.7515
中际旭创,2026-04-21,64.2832,0.6266,27.0031,0.9974,18.8195,0.8122,0.0016,0.5393,0.3676,0.3174,0.4427,19496398084,5734501527,3367573677,7827738011,0.3264,2.4613
恒瑞医药,2026-04-21,47.9862,0.1488,6.039,0.0326,11.6987,0.3207,0.0036,0.1431,0.1286,0.244,0.8621,31629416194,7711054812,11235378131,8292383631,0.1155,8.0842
宁德时代,2026-04-21,25.867,0.3227,5.7182,0.5016,4.3639,0.4491,0.0178,0.2478,0.0907,0.1809,0.2621,129131041000,20737710000,33680852000,89808505000.0,0.6232,1.5956
