date,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-16,0.0034,4.2288,,,,,4.3127,,,,,29.4990,,,,,32.6781,,,,,1.1969,,,,
2026-04-15,0.0035,4.1283,,,,,4.2102,,,,,28.7975,,,,,31.9009,,,,,1.1684,,,,
2026-04-14,0.0034,4.1599,,,,,4.2425,,,,,29.0183,,,,,32.1455,,,,,1.1773,,,,
2026-04-13,0.0034,4.1771,,,,,4.2600,,,,,29.1385,,,,,32.2787,,,,,1.1822,,,,
2026-04-10,0.0035,4.0738,,,,,4.1546,,,,,28.4173,,,,,31.4798,,,,,1.1530,,,,
2026-04-09,0.0036,3.9680,,,,,4.0467,,,,,27.6794,,,,,30.6624,,,,,1.1230,,,,
2026-04-08,0.0035,4.0557,,,,,4.1362,,,,,28.2916,,,,,31.3405,,,,,1.1479,,,,
2026-04-07,0.0037,3.9259,,,,,4.0038,,,,,27.3860,,,,,30.3373,,,,,1.1111,,,,
2026-04-03,0.0036,3.9672,,,,,4.0459,,,,,27.6738,,,,,30.6562,,,,,1.1228,,,,
2026-04-02,0.0035,4.0730,,,,,4.1538,,,,,28.4117,,,,,31.4736,,,,,1.1527,,,,
2026-04-01,0.0035,4.1130,,,,,4.1946,,,,,28.6912,,,,,31.7833,,,,,1.1641,,,,
2026-03-31,0.0034,4.2172,,,,,4.3009,,,,,29.4180,,,,,32.5883,,,,,1.1936,,,,
2026-03-30,0.0034,4.2493,,,,,4.3336,,,,,29.6416,,,,,32.8360,,,,,1.2026,,,,
2026-03-27,0.0126,4.3666,,,,,4.4564,,,,,25.0341,,,,,28.0050,,,,,1.1414,,,,
2026-03-26,0.0128,4.2771,,,,,4.3650,,,,,24.5205,,,,,27.4305,,,,,1.1180,,,,
2026-03-25,0.0124,4.4205,,,,,4.5114,,,,,25.3431,,,,,28.3507,,,,,1.1555,,,,
2026-03-24,0.0124,4.4222,,,,,4.5131,,,,,25.3526,,,,,28.3614,,,,,1.1559,,,,
2026-03-23,0.0123,4.4632,,,,,4.5550,,,,,25.5880,,,,,28.6247,,,,,1.1666,,,,
