date,流动比率,长期负债合计,流动资产合计,所有者权益合计,负债合计,资产负债率,有息负债率,资产合计,速动比率,流动负债合计
2026-03-31,1.7197,214075897014,218425349,330461318176,845575805767,0.719,0.2913,1176037123943,0.571,243016827373
2025-12-31,1.726,207369020266,195984248,329635870114,858656549276,0.7226,0.2895,1188292419390,0.5538,246331624986
2025-09-30,1.6661,211115724236,203564571,344171268788,943221480552,0.7327,0.2721,1287392749339,0.511,322568859378
2025-06-30,1.6579,209965872779,176238195,345596784921,959891756864,0.7353,0.267,1305488541785,0.509,333631867208
2025-03-31,1.6626,226290985004,224202931,345236051413,985429439193,0.7406,0.2769,1330665490606,0.5133,339216833426
2024-12-31,1.6151,208132329770,246791555,342529827152,992578188447,0.7434,0.2643,1335108015600,0.4763,334482053761
2024-09-30,1.6383,239904368050,236273658,345003606388,1028940632176,0.7489,0.261,1373944238564,0.4695,372838991545
2024-06-30,1.6415,247888745229,226052536,343208505619,1046775816941,0.7531,0.2678,1389984322560,0.493,357376754392
2024-03-31,1.6274,253113583251,226544365,343545948931,1080809828724,0.7588,0.2623,1424355777655,0.4684,377431786108
2023-12-31,1.5589,235251412086,229562215,337026644221,1099885146100,0.7655,0.2492,1436911790321,0.4635,377215008557
2023-09-30,1.5467,230955900715,315828684,334264460503,1103953237188,0.7676,0.2453,1438217697691,0.4499,446382485322
2023-06-30,1.565,241083274740,304980799,329498942982,1102340096001,0.7699,0.2488,1431839038983,0.4575,441768565641
2023-03-31,1.5555,242683257985,418212182,320686501062,1127338231221,0.7785,0.2591,1448024732283,0.4533,440113872279
2022-12-31,1.5439,242482459001,273379642,322191507790,1148272900661,0.7809,0.2628,1470464408452,0.4745,412019287766
2022-09-30,1.562,243336167407,478823983,319822725635,1128237717785,0.7791,0.2556,1448060443420,0.4645,456997229117
2022-06-30,1.5598,236693915762,412579991,321827420587,1110754701856,0.7754,0.2581,1432582122443,0.4694,434330495173
2022-03-31,1.5536,254223116457,624958292,311884357424,1117907813535,0.7819,0.2562,1429792170959,0.445,436611770398
2021-12-31,1.5233,231903603560,478436378,302914461403,1097018591450,0.7836,0.2445,1399933052853,0.4818,416016905480
2021-09-30,1.5782,247146802080,1919750595,308925546408,1090957312764,0.7793,0.2474,1399882859172,0.4571,459899021672
2021-06-30,1.5671,238421022804,1934560889,304276239548,1078345466334,0.7799,0.2457,1382621705882,0.4904,442519637677
2021-03-31,1.5748,239691117178,1629556048,280476262998,1033694005883,0.7866,0.2521,1314170268881,0.4733,413346239683
2020-12-31,1.5114,207160409823,1543531347,266637883989,984737035098,0.7869,0.2372,1251374919086,0.4669,365630822437
2020-09-30,1.5995,209452948693,0,253159205042,894740875908,0.7795,0.2632,1147900080950,0.4928,379704729470
2020-06-30,1.6303,208829521984,0,244660256804,850504754138,0.7766,0.2758,1095165010942,0.5113,344317141290
2020-03-31,1.6355,201664332196,0,235801541721,822552731968,0.7772,0.2739,1058354273689,0.5326,316072566805
2019-12-31,1.5623,172072334404,0,229522008578,803686710992,0.7779,0.2614,1033208719569,0.5172,936731857
2019-09-30,1.6337,195698034914,0,198508722451,776691175527,0.7964,0.2829,975199897978,0.5235,0
2019-06-30,1.659,192649871637,0,193417026724,739680428733,0.7927,0.2904,933097455457,0.5442,0
2019-03-31,1.7774,209248676123,0,189763754376,711451663321,0.7894,0.3199,901215417696,0.6184,0
2018-12-31,1.7228,181873951986,0,186494356029,659999567151,0.7797,0.3115,846493923180,0.5977,0
2018-09-30,1.7727,199461152609,0,172507607153,684519501870,0.7987,0.3161,857027109023,0.5491,0
2018-06-30,1.7848,190749322145,0,168335262448,645525466579,0.7932,0.3127,813860729027,0.5017,0
2018-03-31,1.8464,181755246350,0,164056067130,597130734998,0.7845,0.314,761186802128,0.4794,0
2017-12-31,1.7803,147653850793,0,158239665743,538212085157,0.7728,0.2938,696451750899,0.4215,0
2017-09-30,1.7794,149034143156,0,126910513293,505713403985,0.7994,0.3087,632623917278,0.4473,0
2017-06-30,1.7583,123427442880,0,123275807806,458990197101,0.7883,0.2938,582266004907,0.4129,0
2017-03-31,1.813,97875445458,0,120935959475,391815813401,0.7641,0.2783,512751772876,0.4187,0
2016-12-31,1.735,68866552071,0,118101947228,349894827522,0.7476,0.2399,467996774750,0.3688,0
2016-09-30,1.7331,62731655534,0,111355425310,326773326114,0.7458,0.2313,438128751425,0.3877,0
2016-06-30,1.773,66697761871,0,109116159761,324929712167,0.7486,0.2617,434045871928,0.3685,0
