date,总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),净利润率
2026-03-31,0.0683,0.0777,0.0967,0.3676,0.3759
2025-12-31,0.0689,0.0792,0.0986,0.3612,0.3775
2025-09-30,0.073,0.0836,0.105,0.3607,0.4032
2025-06-30,0.0734,0.085,0.1078,0.3493,0.417
2025-03-31,0.0772,0.0889,0.1115,0.3482,0.4217
2024-12-31,0.0773,0.0898,0.1133,0.355,0.4214
2024-09-30,0.0729,0.0849,0.1062,0.3574,0.3761
2024-06-30,0.0764,0.09,0.1142,0.3744,0.3706
2024-03-31,0.073,0.0859,0.1073,0.3718,0.3667
2023-12-31,0.0727,0.0863,0.1089,0.374,0.373
2023-09-30,0.0742,0.0874,0.1099,0.3578,0.3888
2023-06-30,0.0784,0.0941,0.1206,0.351,0.4344
2023-03-31,0.0908,0.1067,0.1335,0.3458,0.4893
2022-12-31,0.1016,0.1217,0.1564,0.3781,0.4804
2022-09-30,0.1108,0.1317,0.1715,0.3941,0.5131
2022-06-30,0.1023,0.1236,0.1623,0.4052,0.4726
2022-03-31,0.1112,0.1318,0.17,0.4178,0.4628
2021-12-31,0.0948,0.117,0.1519,0.4071,0.4515
2021-09-30,0.0922,0.1153,0.1506,0.4041,0.4499
2021-06-30,0.0862,0.1125,0.1454,0.4063,0.446
2021-03-31,0.0692,0.0858,0.109,0.3986,0.3679
2020-12-31,0.0616,0.0784,0.0983,0.3634,0.3516
2020-09-30,0.0615,0.0784,0.0995,0.3714,0.3172
2020-06-30,0.0618,0.0805,0.1055,0.3321,0.303
2020-03-31,0.0687,0.0832,0.1069,0.3155,0.2907
2019-12-31,0.0693,0.0857,0.1147,0.3071,0.2749
2019-09-30,0.0893,0.1173,0.1567,0.3328,0.3385
2019-06-30,0.0858,,0.1521,0.3207,0.3275
2019-03-31,0.0834,,0.1401,0.3182,0.3117
2018-12-31,0.0803,0.1011,0.1439,0.3174,0.3016
2018-09-30,0.0963,,0.1776,0.3236,0.3412
2018-06-30,0.098,,0.1772,0.3355,0.3352
2018-03-31,0.1018,,0.1775,0.339,0.3493
2017-12-31,0.0996,,0.1768,0.3371,0.3433
2017-09-30,0.0767,,0.1325,0.3011,0.2688
2017-06-30,0.0786,,0.1279,0.2897,0.2643
2017-03-31,0.0744,,0.1157,0.2954,0.2496
2016-12-31,0.0751,,0.1195,0.3008,0.2579
2016-09-30,0.0662,,0.1079,0.3034,0.2368
2016-06-30,0.0755,,0.1172,0.3195,0.2516
